Date,Open,High,Low,Close,Adj Close,Volume
2016-11-21,5.856000,5.874000,5.786000,5.854000,4.767614,24383589
2016-11-22,5.900000,5.926000,5.854000,5.875000,4.784717,19637124
2016-11-23,5.880000,5.894000,5.752000,5.847000,4.761913,27829210
2016-11-24,5.805000,5.867000,5.782000,5.822000,4.741552,16245187
2016-11-25,5.797000,5.801000,5.733000,5.771000,4.700017,18111851
2016-11-28,5.750000,5.777000,5.685000,5.726000,4.663368,18798089
2016-11-29,5.690000,5.817000,5.685000,5.780000,4.707346,22173527
2016-11-30,5.770000,5.860000,5.746000,5.826000,4.744811,32992915
2016-12-01,5.820000,5.890000,5.786000,5.870000,4.780644,25597691
2016-12-02,5.800000,5.849000,5.751000,5.788000,4.713862,24625377
2016-12-05,5.703000,5.915000,5.670000,5.847000,4.761913,23790515
2016-12-06,5.870000,6.149000,5.839000,6.122000,4.985879,33806082
2016-12-07,6.175000,6.260000,6.135000,6.201000,5.050218,36172108
2016-12-08,6.220000,6.580000,6.193000,6.478000,5.275812,61932019
2016-12-09,6.445000,6.476000,6.343000,6.414000,5.223689,42058427
2016-12-12,6.400000,6.465000,6.352000,6.369000,5.187040,32110351
2016-12-13,6.334000,6.482000,6.252000,6.470000,5.269296,39320662
2016-12-14,6.438000,6.493000,6.370000,6.370000,5.187854,37032365
2016-12-15,6.396000,6.548000,6.390000,6.534000,5.321420,39787526
2016-12-16,6.520000,6.605000,6.464000,6.552000,5.336079,100465167
2016-12-19,6.530000,6.547000,6.453000,6.474000,5.272554,19486426
2016-12-20,6.450000,6.557000,6.434000,6.515000,5.305945,30954041
2016-12-21,6.495000,6.548000,6.358000,6.455000,5.257080,36362414
2016-12-22,6.423000,6.487000,6.407000,6.444000,5.248121,12615459
2016-12-23,6.486000,6.530000,6.430000,6.460000,5.261153,10998044
2016-12-27,6.420000,6.459000,6.400000,6.444000,5.248121,6562347
2016-12-28,6.450000,6.462000,6.374000,6.414000,5.223689,12438014
2016-12-29,6.331000,6.395000,6.326000,6.375000,5.191926,16543873
2016-12-30,6.368000,6.414000,6.334000,6.414000,5.223689,15092392
2017-01-02,6.459000,6.474000,6.374000,6.440000,5.244864,19607737
2017-01-03,6.480000,6.686000,6.452000,6.565000,5.346666,160332414
2017-01-04,6.585000,6.601000,6.434000,6.495000,5.289657,179333129
2017-01-05,6.463000,6.554000,6.437000,6.518000,5.308388,144550880
2017-01-06,6.530000,6.578000,6.454000,6.566000,5.347481,113930823
2017-01-09,6.585000,6.589000,6.470000,6.537000,5.323863,33421900
2017-01-10,6.464000,6.464000,6.344000,6.357000,5.241411,98132610
2017-01-11,6.330000,6.330000,6.121000,6.149000,5.069914,96047571
2017-01-12,6.100000,6.218000,6.035000,6.118000,5.044354,31491231
2017-01-13,6.160000,6.303000,6.138000,6.236000,5.141646,86007013
2017-01-16,6.165000,6.179000,6.111000,6.140000,5.062493,51069191
2017-01-17,6.120000,6.178000,6.091000,6.129000,5.053423,160809033
